月份,阶段,当月要做什么(简要),当月产出/里程碑,每周投入建议
Feb-26,Pre Week起步,完成Day1-Day5手写脚本; 打牢Python基础; 建立日志习惯,"5个handwrite脚本起步, 日志连续记录",5-10h
Mar-26,Go/No-Go关键月,完成Pre Week收尾与早期任务复盘; 3/14整理记录; 3/15做Go/No-Go,是否继续转ML的决策结论,5-10h
Apr-26,搜广推主线-项目1,王树森课程快速过一轮; 天池新闻推荐跑通ItemCF baseline,"baseline可复现, 指标可记录",5-10h
May-26,搜广推主线-项目1,推进YouTubeDNN召回; 5/25-5/31评估6月tape-out冲击并调整ML计划,"召回模块升级, 6月风险评估结论",5-10h
Jun-26,SoC Tape-out高风险月,"SoC tape-out截止6/30; IC优先, ML按情况降级或暂停","保证IC主线交付, ML最低保底或暂停",0-2h(可暂停)
Jul-26,轻量期收尾,项目1打磨与文档化; 形成可展示版本; 准备冲刺期计划,"项目1可放简历, GitHub可展示",5-10h
Aug-26,冲刺期开始-项目2,启动多模态推荐项目: 数据集制作 + RQ-VAE准备,项目2训练管线跑通(初版),20-25h
Sep-26,冲刺期-项目2,完成项目2核心实验; 补MiniGPT复现(1-2周); 面试基础准备,"项目2中期结果, 八股框架成型",20-25h
Oct-26,投递启动月,10/1-10/10简历定稿+找内推; 10/10-10/20中小厂先投; 10/20起大厂正式投,投递清单+首批面试反馈,20-25h
Nov-26,投递与收割,持续面试+复盘+补投; 强化算法与项目讲解,"面试复盘库, 持续推进offer",15-20h
Dec-26,投递与收割,继续面试与查漏补缺; 优化简历叙事与项目表达,目标公司面试覆盖,15-20h
Jan-27,投递收尾,集中收尾并冲刺拿实习; 统一评估offer与方向匹配,拿到实习/明确下一步,15-20h
Feb-27,过渡与准备,整理投递与面试复盘; 为3-4月春招补投做准备,春招补投清单,8-12h
Mar-27,春招补投窗口,春招补投（如需）并保持面试节奏,补录机会最大化,10-15h
Apr-27,春招补投收尾,春招收尾; 若上岸则准备实习入职,明确去向与执行计划,10-15h
2027-05~2027-08,实习阶段,进入实习并积累真实项目成果,高质量实习经历与可量化成果,以工作为主
2027-09~2027-11,2028届秋招正式岗,2028届正式岗秋招投递与面试（注意不是2027届）,秋招投递/面试/offer,按秋招节奏
